1,835,951,SUG_TO_DECARA
1,835,949,SUG_TO_DECARA
1,841,949,SUG_TO_DECARA
1,851,939,SUG_TO_DECARA
1,863,939,SUG_TO_DECARA
1,867,943,SUG_TO_DECARA
1,880,930,SUG_TO_DECARA
1,880,926,SUG_TO_DECARA
1,889,917,SUG_TO_DECARA
1,889,911,SUG_TO_DECARA
1,883,911,SUG_TO_DECARA
1,879,907,SUG_TO_DECARA
1,863,907,SUG_TO_DECARA
1,862,906,SUG_TO_DECARA
1,862,893,SUG_TO_DECARA
1,864,895,SUG_TO_DECARA
1,857,888,SUG_TO_DECARA
1,842,888,SUG_TO_DECARA
1,842,887,SUG_TO_DECARA
1,845,884,SUG_TO_DECARA
1,845,878,SUG_TO_DECARA
1,852,878,SUG_TO_DECARA
1,852,871,SUG_TO_DECARA
1,856,867,SUG_TO_DECARA
1,870,867,SUG_TO_DECARA
1,876,861,SUG_TO_DECARA
1,882,861,SUG_TO_DECARA
1,882,856,SUG_TO_DECARA
1,892,856,SUG_TO_DECARA
1,893,857,SUG_TO_DECARA
1,899,851,SUG_TO_DECARA
1,913,851,SUG_TO_DECARA
1,913,804,SUG_TO_DECARA
1,966,751,SUG_TO_DECARA
1,966,739,SUG_TO_DECARA
1,980,725,SUG_TO_DECARA
1,1014,725,SUG_TO_DECARA
1,1014,687,SUG_TO_DECARA
1,1028,673,SUG_TO_DECARA
1,1028,647,SUG_TO_DECARA
1,1042,633,SUG_TO_DECARA
1,1075,633,SUG_TO_DECARA
1,1116,592,SUG_TO_DECARA
1,1164,592,SUG_TO_DECARA
1,1171,585,SUG_TO_DECARA
1,1180,585,SUG_TO_DECARA
1,1180,564,SUG_TO_DECARA
1,1186,558,SUG_TO_DECARA
1,1223,558,SUG_TO_DECARA
1,1238,543,SUG_TO_DECARA
1,1300,543,SUG_TO_DECARA
1,1313,556,SUG_TO_DECARA
1,1353,556,SUG_TO_DECARA
1,1373,536,SUG_TO_DECARA
1,1387,536,SUG_TO_DECARA
1,1414,509,SUG_TO_DECARA
1,1510,509,SUG_TO_DECARA
